% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 17.72 ms, time offset 117.5 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 16:59:00 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-4.028336000000e-03, -2.076209e-01, 4.952160e-03, -6.744472e+01
-4.010960000000e-03, -1.954079e-02, 4.969536e-03, -6.638415e+01
-3.993584000000e-03, 1.807523e-01, 4.986912e-03, -6.567468e+01
-3.976208000000e-03, 3.749390e-01, 5.004288e-03, -6.310931e+01
-3.958832000000e-03, 5.239375e-01, 5.021664e-03, -6.076668e+01
-3.941456000000e-03, 7.034685e-01, 5.039040e-03, -6.027218e+01
-3.924080000000e-03, 7.840743e-01, 5.056416e-03, -6.165788e+01
-3.906704000000e-03, 8.365902e-01, 5.073792e-03, -6.474629e+01
-3.889328000000e-03, 8.646801e-01, 5.091168e-03, -7.081329e+01
-3.871952000000e-03, 8.976551e-01, 5.108544e-03, -8.143767e+01
-3.854576000000e-03, 8.573523e-01, 5.125920e-03, -7.518770e+01
-3.837200000000e-03, 7.718613e-01, 5.143296e-03, -6.664338e+01
-3.819824000000e-03, 6.717147e-01, 5.160672e-03, -6.974560e+01
-3.802448000000e-03, 4.921837e-01, 5.178048e-03, -5.495530e+01
-3.785072000000e-03, 3.285296e-01, 5.195424e-03, -4.413064e+01
-3.767696000000e-03, 1.233513e-01, 5.212800e-03, -3.887716e+01
-3.750320000000e-03, -5.984368e-02, 5.230176e-03, -3.695676e+01
-3.732944000000e-03, -2.735711e-01, 5.247552e-03, -3.789957e+01
-3.715568000000e-03, -4.347826e-01, 5.264928e-03, -4.190575e+01
-3.698192000000e-03, -5.691256e-01, 5.282304e-03, -5.016845e+01
-3.680816000000e-03, -7.095750e-01, 5.299680e-03, -7.077318e+01
