% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 10.88 ms, time offset -555.9 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 17:01:03 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-2.048256000000e-03, -4.457743e-01, 2.838528e-03, -6.227016e+01
-2.037504000000e-03, -3.749390e-01, 2.849280e-03, -6.189997e+01
-2.026752000000e-03, -2.381534e-01, 2.860032e-03, -6.242753e+01
-2.016000000000e-03, -1.013679e-01, 2.870784e-03, -6.375838e+01
-2.005248000000e-03, 3.663899e-03, 2.881536e-03, -6.874353e+01
-1.994496000000e-03, 1.001466e-01, 2.892288e-03, -6.602466e+01
-1.983744000000e-03, 2.638007e-01, 2.903040e-03, -6.175148e+01
-1.972992000000e-03, 3.883732e-01, 2.913792e-03, -6.137753e+01
-1.962240000000e-03, 4.592086e-01, 2.924544e-03, -4.541627e+01
-1.951488000000e-03, 5.654617e-01, 2.935296e-03, -3.908079e+01
-1.940736000000e-03, 6.802638e-01, 2.946048e-03, -3.670402e+01
-1.929984000000e-03, 7.486566e-01, 2.956800e-03, -3.744056e+01
-1.919232000000e-03, 7.706400e-01, 2.967552e-03, -4.143324e+01
-1.908480000000e-03, 8.158281e-01, 2.978304e-03, -5.000383e+01
-1.897728000000e-03, 8.549097e-01, 2.989056e-03, -6.536762e+01
-1.886976000000e-03, 8.573523e-01, 2.999808e-03, -6.535804e+01
-1.876224000000e-03, 8.695653e-01, 3.010560e-03, -7.548286e+01
-1.865472000000e-03, 8.952125e-01, 3.021312e-03, -7.010286e+01
-1.854720000000e-03, 8.915487e-01, 3.032064e-03, -7.760621e+01
-1.843968000000e-03, 8.023938e-01, 3.042816e-03, -6.786462e+01
-1.833216000000e-03, 7.633122e-01, 3.053568e-03, -6.283943e+01
-1.822464000000e-03, 7.254519e-01, 3.064320e-03, -6.265662e+01
